,id,timestamp,age_range,industry,job,job_context,annual_salary,add_compensation,currency,other_currency,income_context,country,state,all_experience,field_experience,education-level,gender,race
0,1,2021-04-27 11:03:01,35-44,"Accounting, Banking & Finance",Senior Accountant,NaN,45000,0.0,USD,NaN,I work for a Charter School,United States,Florida,21 - 30 years,21 - 30 years,College degree,Woman,Hispanic Latino or Spanish origin
0,1,2021-04-27 11:03:01,35-44,"Accounting, Banking & Finance",Senior Accountant,NaN,45000,0.0,USD,NaN,I work for a Charter School,United States,Florida,21 - 30 years,21 - 30 years,College degree,Woman,White
1,2,2021-04-27 11:03:28,35-44,Government and Public Administration,Researcher,NaN,96000,1000.0,USD,NaN,NaN,United States,Ohio,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
2,3,2021-04-27 11:03:41,35-44,Government and Public Administration,Economist,NaN,140000,0.0,USD,NaN,NaN,United States,District of Columbia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
3,4,2021-04-27 11:04:06,35-44,Computing or Tech,Mobile developer,NaN,144600,2500.0,USD,NaN,NaN,United States,Massachusetts,5-7 years,5-7 years,PhD,Woman,White
4,5,2021-04-27 11:04:27,25-34,Education (Higher Education),Coordinator,NaN,52000,0.0,USD,NaN,NaN,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White
5,6,2021-04-27 11:04:36,25-34,Computing or Tech,Technical specialist,NaN,34000,2000.0,USD,NaN,NaN,United States,Minnesota,5-7 years,5-7 years,College degree,Woman,White
6,7,2021-04-27 11:04:38,25-34,Government and Public Administration,City Research Scientist II,Public Health Research and Data Analysis,87000,0.0,USD,NaN,NaN,United States,New York,5-7 years,2 - 4 years,Master's degree,Man,White
7,8,2021-04-27 11:04:41,35-44,Computing or Tech,Tech Writer,NaN,88000,0.0,USD,NaN,NaN,United States,Maryland,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
8,9,2021-04-27 11:05:01,25-34,Sales,CSR,NaN,39520,0.0,USD,NaN,NaN,United States,Oregon,8 - 10 years,2 - 4 years,Some college,Woman,White
9,10,2021-04-27 11:05:05,55-64,Business or Consulting,Senior Vice President of Marketing,NaN,180000,60000.0,USD,NaN,NaN,United States,Massachusetts,31 - 40 years,11 - 20 years,Master's degree,Woman,White
10,11,2021-04-27 11:05:14,25-34,Government and Public Administration,Administrative Officer,Budget Officer + Office Manager,53000,0.0,USD,NaN,NaN,United States,North Carolina,8 - 10 years,5-7 years,College degree,Man,White
11,12,2021-04-27 11:05:17,45-54,Engineering or Manufacturing,Senior Device Engineer,"develop delivery systems for pharmaceuticals (syringes, autoinjectors..)",150000,20000.0,USD,NaN,NaN,United States,Colorado,21 - 30 years,21 - 30 years,College degree,Woman,White
12,13,2021-04-27 11:05:21,35-44,Government and Public Administration,Case Manager,Worker's Comp,78000,0.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American
12,13,2021-04-27 11:05:21,35-44,Government and Public Administration,Case Manager,Worker's Comp,78000,0.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,5-7 years,College degree,Woman,White
13,14,2021-04-27 11:05:27,25-34,Education (Higher Education),Associate Director of Donor Relations,NaN,75000,0.0,USD,NaN,NaN,United States,Massachusetts,11 - 20 years,11 - 20 years,College degree,Woman,White
14,15,2021-04-27 11:05:33,35-44,Media & Digital,Digital Marketing Specialist,NaN,42000,0.0,USD,NaN,NaN,United States,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Woman,White
15,16,2021-04-27 11:05:51,18-24,Hospitality & Events,Customer Service Specialist,"I don't want to get too specific, but I specialize in a certain part of our customer service team that's a little more technical.",33280,500.0,USD,NaN,NaN,United States,Florida,5-7 years,2 - 4 years,College degree,Non-binary,White
16,17,2021-04-27 11:05:54,25-34,Education (Higher Education),English as a Second Language Teacher,NaN,18000,0.0,EUR,NaN,NaN,Spain,NaN,8 - 10 years,5-7 years,College degree,Woman,White
17,18,2021-04-27 11:06:02,25-34,Publishing,Editor,NaN,27000,0.0,GBP,NaN,NaN,United Kingdom,NaN,11 - 20 years,5-7 years,College degree,Woman,White
18,19,2021-04-27 11:06:06,25-34,Nonprofits,Director of Development,NaN,92000,0.0,USD,NaN,NaN,United States,Massachusetts,8 - 10 years,5-7 years,Master's degree,Woman,White
19,20,2021-04-27 11:06:12,25-34,Government and Public Administration,Program Analyst,Specializing in training & communications,117500,1500.0,USD,NaN,NaN,United States,NaN,8 - 10 years,5-7 years,Master's degree,NaN,Hispanic Latino or Spanish origin
20,21,2021-04-27 11:06:13,35-44,Architecture,Project Architect,NaN,58000,4000.0,USD,NaN,NaN,United States,New Jersey,11 - 20 years,8 - 10 years,Master's degree,Woman,White
21,22,2021-04-27 11:06:20,25-34,Nonprofits,Associate,NaN,83200,0.0,USD,NaN,NaN,United States,District of Columbia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
22,23,2021-04-27 11:06:26,25-34,Retail,Head of Data & Analytics,NaN,100000,0.0,USD,NaN,NaN,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White
23,24,2021-04-27 11:06:34,35-44,Computing or Tech,Senior Technical Writer,NaN,83000,8000.0,USD,NaN,NaN,United States,California,8 - 10 years,5-7 years,College degree,Woman,White
24,25,2021-04-27 11:06:39,25-34,Nonprofits,Information and Program Manager,I work in philanthropy for a private foundation,70000,5000.0,USD,NaN,NaN,United States,Pennsylvania,8 - 10 years,5-7 years,Master's degree,Woman,White
25,26,2021-04-27 11:06:50,55-64,Law,Attorney,NaN,275000,0.0,USD,NaN,"I own my own firm, so my take home varies wildly year to year. I've put an average over a few years.",United States,Minnesota,31 - 40 years,31 - 40 years,Master's degree,Woman,White
26,27,2021-04-27 11:07:13,25-34,Property or Construction,Assistant Project Manager,NaN,55000,0.0,USD,NaN,NaN,United States,Florida,5-7 years,2 - 4 years,College degree,Woman,White
27,28,2021-04-27 11:07:16,25-34,Law,Associate,NaN,190000,0.0,USD,NaN,NaN,United States,Massachusetts,1 year or less,1 year or less,Master's degree,Woman,White
28,29,2021-04-27 11:07:21,25-34,Education (Higher Education),Teaching Assistant,TA as part of a PhD program in the humanities,28000,0.0,USD,NaN,NaN,United States,New Jersey,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
29,30,2021-04-27 11:07:40,45-54,Insurance,Supervisor,NaN,59000,7000.0,USD,NaN,NaN,United States,NaN,21 - 30 years,21 - 30 years,Some college,Woman,White
30,31,2021-04-27 11:07:57,25-34,Government and Public Administration,Office Administrator,NaN,58000,0.0,CAD,NaN,NaN,Canada,NaN,8 - 10 years,5-7 years,Some college,Woman,White
31,32,2021-04-27 11:08:06,25-34,Government and Public Administration,Policy Analyst,NaN,78000,0.0,USD,NaN,"Salaried, can accumulate comp time but not paid overtime (except in specific circumstances). Salaries are pre-set by government/civil service titles and union raises are about 3% per year, but I did receive a merit raise a couple of years ago.",United States,New York,5-7 years,2 - 4 years,Master's degree,Woman,White
32,33,2021-04-27 11:08:07,35-44,"Accounting, Banking & Finance",Bookkeeper self-employed,NaN,114400,0.0,USD,NaN,"I only work about 15-20 hours per week, so I don't make anywhere near the full-time annual salary.",United States,Virginia,21 - 30 years,11 - 20 years,College degree,Woman,White
33,34,2021-04-27 11:08:18,25-34,Nonprofits,Legislative Analyst,NaN,65000,0.0,USD,NaN,NaN,United States,California,8 - 10 years,5-7 years,College degree,Woman,White
34,35,2021-04-27 11:08:23,45-54,Education (Primary/Secondary),Principal Teacher,NaN,51000,0.0,GBP,NaN,NaN,United Kingdom,NaN,21 - 30 years,21 - 30 years,College degree,Woman,White
35,36,2021-04-27 11:08:46,25-34,"Accounting, Banking & Finance",Staff Accountant,NaN,61800,1000.0,USD,NaN,"No accounting or business degree, or salary would probably be higher. Working on it!",United States,Ohio,8 - 10 years,5-7 years,College degree,Man,White
36,37,2021-04-27 11:09:34,35-44,Property or Construction,Project Manager,NaN,52000,6000.0,USD,NaN,NaN,United States,South Carolina,11 - 20 years,5-7 years,High School,Woman,White
37,38,2021-04-27 11:09:53,35-44,Utilities & Telecommunications,Technical Services Team Lead,NaN,60000,4000.0,USD,NaN,NaN,United States,Maryland,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
38,39,2021-04-27 11:10:00,35-44,Computing or Tech,Director of Operations,NaN,85000,0.0,GBP,NaN,NaN,United Kingdom,NaN,11 - 20 years,5-7 years,College degree,Woman,White
39,40,2021-04-27 11:10:01,25-34,Nonprofits,Prospect Researcher,I work in development/fundraising at a non-profit,44500,0.0,USD,NaN,NaN,United States,Pennsylvania,2 - 4 years,2 - 4 years,Master's degree,Woman,White
40,41,2021-04-27 11:10:19,35-44,Education (Higher Education),Systems Librarian,NaN,54000,0.0,USD,NaN,NaN,United States,North Dakota,1 year or less,1 year or less,Master's degree,Woman,White
41,42,2021-04-27 11:10:22,25-34,Research and development,Chemist,NaN,58000,1500.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,11 - 20 years,College degree,Woman,Hispanic Latino or Spanish origin
41,42,2021-04-27 11:10:22,25-34,Research and development,Chemist,NaN,58000,1500.0,USD,NaN,NaN,United States,Virginia,11 - 20 years,11 - 20 years,College degree,Woman,White
42,43,2021-04-27 11:10:24,35-44,Engineering or Manufacturing,Project Manager Specialist,NaN,165000,0.0,USD,NaN,NaN,United States,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
43,44,2021-04-27 11:10:31,35-44,Nonprofits,Senior Development Manager,Fundraising,72100,0.0,USD,NaN,NaN,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Woman,White
44,45,2021-04-27 11:10:34,35-44,Business or Consulting,Email Marketing Director,NaN,78000,0.0,USD,NaN,NaN,United States,Kansas,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45,46,2021-04-27 11:10:51,55-64,Law,Word Processor,"(document production using MS office products, Adobe Acrobat)",39917,400.0,USD,NaN,NaN,United States,Indiana,31 - 40 years,21 - 30 years,Master's degree,Woman,White
46,47,2021-04-27 11:10:56,25-34,Nonprofits,Advocacy and Grassroot Specialist,Slightly higher than entry-level advocacy job,59400,0.0,USD,NaN,NaN,United States,District of Columbia,2 - 4 years,2 - 4 years,Master's degree,Woman,White
47,48,2021-04-27 11:10:57,35-44,Computing or Tech,Software Developer,NaN,92000,15000.0,CAD,NaN,NaN,Canada,NaN,11 - 20 years,11 - 20 years,College degree,Man,White
48,49,2021-04-27 11:11:08,35-44,Government and Public Administration,Director of Accounting,Head of the accounting department for a local government special district,139000,18000.0,USD,NaN,additional comp is car allowance plus annual longevity bonus,United States,Texas,11 - 20 years,11 - 20 years,College degree,Woman,White
